RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,SOURCE OF WEALTH,SELF-MADE SCORE,RESIDENCE,CITIZENSHIP,MARITAL STATUS,CHILDREN,EDUCATION
64,"Edward Johnson, IV.",$10.6 B,59,Massachusetts,Fidelity,2,FINANCE & INVESTMENTS,Fidelity,2,"Boston, Massachusetts",United States,"Bachelor of Arts/Science, Northeastern University",,
65,Eric Smidt,$10.5 B,64,California,Hardware stores,1,FASHION & RETAIL,"Hardware stores, Self Made",10,"Beverly Hills, California",United States,Married,,
66,Melinda French Gates,$10.3 B,59,Washington,Microsoft,5,TECHNOLOGY,Microsoft,2,"Medina, Washington",United States,Divorced,3,"Bachelor of Arts/Science, Duke University; Master of Business Administration, Fuqua School of Business"
67,Judy Love & family,$10.2 B,87,Oklahoma,Gas stations,1,FASHION & RETAIL,"Gas stations, Self Made",9,"Oklahoma City, Oklahoma",United States,Widowed,4,"Drop Out, St. John's University (MN); Bachelor of Arts/Science, University of Central Oklahoma"
67,David Sun,$10.2 B,72,California,Computer hardware,1,TECHNOLOGY,"Computer hardware, Self Made",10,"Irvine, California",United States,Married,2,"Bachelor of Engineering, Tatung University"
67,John Tu,$10.2 B,82,California,Computer hardware,1,TECHNOLOGY,"Computer hardware, Self Made",9,"Rolling Hills, California",United States,Married,2,"Bachelor of Arts/Science, Technische Universität Darmstadt"
70,Stephen Ross,$10.1 B,84,New York,Real estate,2,REAL ESTATE,"Real estate, Self Made",8,"New York, New York",United States,Married,4,"Master of Laws, New York University; Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, Wayne State University"
70,Patrick Ryan,$10.1 B,87,Illinois,Insurance,2,FINANCE & INVESTMENTS,"Insurance, Self Made",8,"Winnetka, Illinois",United States,Married,3,"Bachelor of Arts/Science, Northwestern University"
72,Brian Chesky,$10 B,42,California,Airbnb,1,TECHNOLOGY,"Airbnb, Self Made",8,"San Francisco, California",United States,Single,"Bachelor of Arts/Science, Rhode Island School of Design",
72,John Malone,$10 B,83,Colorado,Cable television,3,MEDIA & ENTERTAINMENT,"Cable television, Self Made",8,"Elizabeth, Colorado",United States,Married,2,"Doctorate, Johns Hopkins University; Master of Science, Johns Hopkins University; Bachelor of Arts/Science, Yale University"
