RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,SOURCE OF WEALTH,SELF-MADE SCORE,RESIDENCE,CITIZENSHIP,MARITAL STATUS,CHILDREN,EDUCATION
258,Lynn Schusterman & family,$4.5 B,85,Oklahoma,"Oil & gas, investments",5,ENERGY,"Oil & gas, investments",1,"Tulsa, Oklahoma",United States,Widowed,3,"Drop Out, University of Miami"
258,Margaretta Taylor,$4.5 B,82,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT,"Media, automotive",1,"Southampton, New York",United States,2,"Bachelor of Arts/Science, Finch College",
264,Jim Davis,$4.4 B,64,Maryland,Staffing & recruiting,3,SERVICE,"Staffing & recruiting, Self Made",8,"Cockeysville, Maryland",United States,Married,2,"Bachelor of Arts/Science, Villanova University"
264,Jeff Skoll,$4.4 B,59,California,EBay,5,TECHNOLOGY,"EBay, Self Made",6,"Los Angeles, California",United States,Single,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Toronto",
264,Eric Yuan & family,$4.4 B,54,California,Zoom Video Communications,"Santa Clara, California",TECHNOLOGY,"Zoom Video Communications, Self Made",8,United States,Married,3,"Master of Engineering Management, China University of Mining and Technology; Bachelor of Engineering, Shandong Institute of Business and Technology",
267,John Catsimatidis,$4.3 B,75,New York,"Oil, real estate",1,ENERGY,"Oil, real estate, Self Made",10,"New York, New York",United States,Married,2,"Drop Out, New York University"
267,Reed Hastings,$4.3 B,63,California,Netflix,3,TECHNOLOGY,"Netflix, Self Made",7,"Santa Cruz, California",United States,Married,2,"Bachelor of Arts/Science, Bowdoin College; Master of Science, Stanford University"
267,James Irsay,$4.3 B,65,Indiana,Indianapolis Colts,1,SPORTS,Indianapolis Colts,2,"Carmel, Indiana",United States,Divorced,3,"Bachelor of Arts/Science, Southern Methodist University"
267,Eric Lefkofsky,$4.3 B,54,Illinois,"Groupon, investments",2,TECHNOLOGY,"Groupon, investments, Self Made",8,"Glencoe, Illinois",United States,Married,3,"Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, University of Michigan"
267,Gabe Newell,$4.3 B,61,Washington,Videogames,"Seattle, Washington",GAMBLING & CASINOS,"Videogames, Self Made",8,United States,Divorced,2,"Drop Out, Harvard University",
267,Jean (Gigi) Pritzker,$4.3 B,62,California,"Hotels, investments",2,SERVICE,"Hotels, investments",3,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, Stanford University"
273,Joseph Grendys,$4.2 B,62,Illinois,Poultry processing,1,FOOD & BEVERAGE,"Poultry processing, Self Made",7,"Chicago, Illinois",United States,Single,"Bachelor of Arts/Science, Loyola University Chicago",
273,Martha Ingram & family,$4.2 B,88,Tennessee,"Book distribution, transportation",1,MEDIA & ENTERTAINMENT,"Book distribution, transportation",4,"Nashville, Tennessee",United States,Widowed,4,"Bachelor of Arts/Science, Vassar College"
273,"Jeremy Jacobs, Sr. & family",$4.2 B,84,New York,Food service,2,SERVICE,Food service,5,"East Aurora, New York",United States,Married,6,"Bachelor of Arts/Science, SUNY Buffalo"
273,"Rupert Johnson, Jr.",$4.2 B,83,California,Franklin Templeton,2,FINANCE & INVESTMENTS,Franklin Templeton,4,"Burlingame, California",United States,Married,"Bachelor of Arts/Science, Washington & Lee University",
273,John Sall,$4.2 B,76,North Carolina,Software,2,TECHNOLOGY,"Software, Self Made",8,"Cary, North Carolina",United States,Married,4,"Bachelor of Arts/Science, Beloit College; Master of Arts, Northern Illinois University"
278,Nick Caporella,$4.1 B,88,Florida,Beverages,"Plantation, Florida",FOOD & BEVERAGE,"Beverages, Self Made",9,United States,Married,4,,
278,Barry Diller,$4.1 B,82,New York,Online media,3,MEDIA & ENTERTAINMENT,"Online media, Self Made",9,"New York, New York",United States,Married,"Drop Out, University of California, Los Angeles",
278,Stephen Feinberg,$4.1 B,64,New York,Private equity,"New York, New York",FINANCE & INVESTMENTS,"Private equity, Self Made",8,United States,Married,3,"Bachelor of Arts/Science, Princeton University",
278,Maggie Hardy,$4.1 B,58,Pennsylvania,Building materials,"Belle Vernon, Pennsylvania",SERVICE,Building materials,4,United States,Divorced,1,"Drop Out, West Virginia University",
278,Dan Snyder,$4.1 B,59,Maryland,Washington Commanders,1,SPORTS,"Washington Commanders, Self Made",8,"Potomac, Maryland",United States,Married,3,"Drop Out, University of Maryland"
278,Tim Sweeney,$4.1 B,53,North Carolina,Video games,1,MEDIA & ENTERTAINMENT,"Video games, Self Made",8,"Cary, North Carolina",United States,"Bachelor of Arts/Science, University of Maryland, College Park",,
278,Steven Udvar-Hazy,$4.1 B,78,Texas,Aircraft leasing,3,SERVICE,"Aircraft leasing, Self Made",9,"Westlake, Texas",United States,Married,4,"Bachelor of Arts/Science, University of California, Los Angeles"
285,Marian Ilitch,$4 B,91,Michigan,Little Caesars Pizza,3,FOOD & BEVERAGE,"Little Caesars Pizza, Self Made",9,"Bingham Farms, Michigan",United States,Widowed,7,"Diploma, High School; High School Graduate, High School"
285,Roger Penske,$4 B,87,Michigan,Cars,1,AUTOMOTIVE,"Cars, Self Made",8,"Birmingham, Michigan",United States,Married,5,"Drop Out, Lehigh University"
285,Isaac Perlmutter,$4 B,81,Florida,Marvel comics,1,MEDIA & ENTERTAINMENT,"Marvel comics, Self Made",10,"Palm Beach, Florida",United States,Married,"High School Graduate, High School",
285,Jeff Rothschild,$4 B,69,California,Facebook,1,TECHNOLOGY,"Facebook, Self Made",6,"Palo Alto, California",United States,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Master of Science, Vanderbilt University"
285,E. Joe Shoen,$4 B,74,Arizona,U-Haul,"Phoenix, Arizona",AUTOMOTIVE,U-Haul,5,United States,Married,"Bachelor of Arts/Science, College of the Holy Cross; Master of Business Administration, Harvard Business School",,
285,Donald Sterling,$4 B,90,California,Real estate,1,REAL ESTATE,"Real estate, Self Made",8,"Beverly Hills, California",United States,Married,3,"Bachelor of Arts/Science, California State Los Angeles; Doctor of Jurisprudence, Southwestern Law School"
291,Sid Bass,$3.9 B,82,Texas,"Oil, investments",2,ENERGY,"Oil, investments",4,"Fort Worth, Texas",United States,Divorced,2,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University"
291,Wesley Edens,$3.9 B,62,New York,Investments,"New York, New York",FINANCE & INVESTMENTS,"Investments, Self Made",8,United States,Married,4,"Bachelor of Arts/Science, Oregon State University",
291,Hamilton James & family,$3.9 B,72,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",6,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University"
291,Gail Miller,$3.9 B,80,Utah,Car dealerships,2,AUTOMOTIVE,"Car dealerships, Self Made",7,"Salt Lake City, Utah",United States,"Widowed, Remarried",5,"Drop Out, University of Utah"
295,Jim Coulter,$3.8 B,64,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",7,"San Francisco, California",United States,Married,3,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford University"
295,Daniel D'Aniello,$3.8 B,77,Virginia,Private equity,3,FINANCE & INVESTMENTS,"Private equity, Self Made",10,"Vienna, Virginia",United States,Married,2,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Syracuse University"
295,Behdad Eghbali,$3.8 B,48,California,Private equity,"Los Angeles, California",FINANCE & INVESTMENTS,"Private equity, Self Made",8,United States,Married,"Bachelor of Business Administration, University of California, Berkeley",,
295,Jose E. Feliciano,$3.8 B,51,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"Los Angeles, California",United States,Married,"Bachelor of Engineering, Princeton University; Master of Business Administration, Stanford University",
295,Peter Kellogg,$3.8 B,81,New Jersey,Investments,3,FINANCE & INVESTMENTS,Investments,4,"Short Hills, New Jersey",United States,Married,3,"Bachelor of Arts/Science, Babson College"
295,Richard Schulze,$3.8 B,83,Florida,Best Buy,3,FASHION & RETAIL,"Best Buy, Self Made",8,"Naples, Florida",United States,"Widowed, Remarried",10,"Diploma, High School"
295,Thomas Siebel,$3.8 B,71,California,Business software,4,TECHNOLOGY,"Business software, Self Made",8,"Woodside, California",United States,Married,4,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign; Master of Business Administration, University of Illinois, Urbana-Champaign; Master of Science, University of Illinois, Urbana-Champaign"
295,Barry Sternlicht,$3.8 B,63,Florida,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"Miami, Florida",United States,Divorced,3,"Bachelor of Arts/Science, Brown University"
295,Michael Xie,$3.8 B,55,California,Cybersecurity,1,TECHNOLOGY,"Cybersecurity, Self Made",8,"Los Altos Hills, California",United States,Married,"Bachelor of Arts/Science, Tsinghua University; Master of Science, Tsinghua University; Master of Science, University of Manitoba",
304,William Ackman,$3.7 B,58,New York,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",7,"New York, New York",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University"
304,Brian Armstrong,$3.7 B,41,California,Cryptocurrency,"San Francisco, California",FINANCE & INVESTMENTS,"Cryptocurrency, Self Made",8,United States,"Bachelor of Arts/Economics, Rice University; Master of Arts/Science, Rice University",,,
304,Hayes Barnard,$3.7 B,52,Texas,Fintech,2,FINANCE & INVESTMENTS,"Fintech, Self Made",10,"Austin, Texas",United States,Married,3,"Bachelor of Business Administration, University of Missouri"
304,Peter Gassner,$3.7 B,59,California,Software,"Pleasanton, California",TECHNOLOGY,"Software, Self Made",8,United States,Married,2,"Bachelor of Science, Oregon State University",
304,Brad Jacobs,$3.7 B,68,Connecticut,Logistics,"Greenwich, Connecticut",LOGISTICS,"Logistics, Self Made",8,United States,Married,4,"Drop Out, Brown University",
304,Mary Alice Dorrance Malone,$3.7 B,74,Pennsylvania,Campbell Soup,1,FOOD & BEVERAGE,Campbell Soup,2,"Coatesville, Pennsylvania",United States,Divorced,2,"Bachelor of Arts/Science, University of Arizona"
304,John Middleton,$3.7 B,69,Pennsylvania,Tobacco,2,FOOD & BEVERAGE,Tobacco,5,"Bryn Mawr, Pennsylvania",United States,Married,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University"
304,Jay Paul,$3.7 B,77,California,Real estate,"San Francisco, California",REAL ESTATE,"Real estate, Self Made",8,United States,Married,"Bachelor of Arts/Science, Boston University",,
304,"H. Ross Perot, Jr.",$3.7 B,65,Texas,Real estate,2,REAL ESTATE,Real estate,4,"Dallas, Texas",United States,Married,4,"Bachelor of Arts/Science, Vanderbilt University"
304,Anthony Pritzker,$3.7 B,63,California,"Hotels, investments",3,SERVICE,"Hotels, investments",3,"Los Angeles, California",United States,Married,6,"Bachelor of Arts/Science, Dartmouth College"
314,Sanjit Biswas,$3.6 B,42,California,Sensor systems,"San Francisco, California",TECHNOLOGY,"Sensor systems, Self Made",8,United States,Married,3,"Master of Science, Massachusetts Institute of Technology; Bachelor of Science, Stanford University",
314,James Clark,$3.6 B,80,Florida,"Netscape, investments",2,TECHNOLOGY,"Netscape, investments, Self Made",9,"Palm Beach, Florida",United States,Married,4,"Bachelor of Arts/Science, University of New Orleans; Master of Science, University of New Orleans; Ph.D, University of Utah"
314,Jack Dorsey,$3.6 B,47,California,"Twitter, Square",4,TECHNOLOGY,"Twitter, Square, Self Made",8,"San Francisco, California",United States,Single,"Drop Out, New York University",
314,Travis Kalanick,$3.6 B,47,California,Uber,"Los Angeles, California",TECHNOLOGY,"Uber, Self Made",8,United States,Single,"Drop Out, University of California, Los Angeles",,
314,Steven Klinsky,$3.6 B,68,New York,Investments,"New York, New York",FINANCE & INVESTMENTS,"Investments, Self Made",7,United States,"Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard Law School; Bachelor of Arts/Economics, University of Michigan, Ann Arbor",,,
314,Josh Kushner,$3.6 B,39,New York,Venture capital,"New York, New York",FINANCE & INVESTMENTS,"Venture capital, Self Made",7,United States,Married,2,"Bachelor of Arts/Science, Harvard; Master of Business Administration, Harvard Business School",
314,Daniel Och,$3.6 B,63,Florida,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",7,"Miami Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
314,Bob Parsons,$3.6 B,73,Arizona,Web hosting,3,TECHNOLOGY,"Web hosting, Self Made",10,"Scottsdale, Arizona",United States,Married,"Bachelor of Arts/Science, University of Baltimore",
314,Ira Rennert,$3.6 B,90,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",8,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, Brooklyn College; Master of Business Administration, Leonard N. Stern School of Business"
314,Rodger Riney & family,$3.6 B,78,Missouri,Discount brokerage,2,FINANCE & INVESTMENTS,"Discount brokerage, Self Made",7,"St. Louis, Missouri",United States,Married,3,"Bachelor of Arts/Science, University of Missouri; Master of Business Administration, University of Missouri"
314,Vincent Viola,$3.6 B,68,New York,Electronic trading,2,FINANCE & INVESTMENTS,"Electronic trading, Self Made",9,$42.1M,1%,"New York, New York",United States,Married
314,Jon Yarbrough,$3.6 B,67,Tennessee,Video games,1,GAMBLING & CASINOS,"Video games, Self Made",8,"Franklin, Tennessee",United States,Married,2,"Bachelor of Arts/Science, Tennessee Technological University"
326,William Berkley,$3.5 B,77,Florida,Insurance,1,FINANCE & INVESTMENTS,"Insurance, Self Made",8,"Coconut Grove, Florida",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, New York University"
326,John Bicket,$3.5 B,44,California,Sensor systems,"San Francisco, California",TECHNOLOGY,"Sensor systems, Self Made",8,United States,Married,2,"Bachelor of Science, Cornell University; Master of Science, Massachusetts Institute of Technology",
326,David Filo,$3.5 B,58,California,Yahoo,3,TECHNOLOGY,"Yahoo, Self Made",8,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, Tulane University"
326,"Amos Hostetter, Jr.",$3.5 B,87,Massachusetts,Cable television,5,MEDIA & ENTERTAINMENT,"Cable television, Self Made",7,"Boston, Massachusetts",United States,Married,3,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University"
326,John Paulson,$3.5 B,68,New York,Hedge funds,4,FINANCE & INVESTMENTS,"Hedge funds, Self Made",9,"New York, New York",United States,Separated,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, New York University"
326,J.B. Pritzker,$3.5 B,59,Illinois,"Hotels, investments",3,FINANCE & INVESTMENTS,"Hotels, investments",3,"Springfield, Illinois",United States,Married,2,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, Northwestern University"
326,J. Joe Ricketts & family,$3.5 B,83,Wyoming,TD Ameritrade,3,FINANCE & INVESTMENTS,"TD Ameritrade, Self Made",10,"Little Jackson Hole, Wyoming",United States,Married,4,"Bachelor of Arts/Science, Creighton University"
326,David Rubenstein,$3.5 B,74,Maryland,Private equity,4,FINANCE & INVESTMENTS,"Private equity, Self Made",9,"Bethesda, Maryland",United States,Divorced,3,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, University of Chicago"
326,Herb Simon,$3.5 B,89,Indiana,Real estate,2,REAL ESTATE,"Real estate, Self Made",9,"Indianapolis, Indiana",United States,Married,8,"Bachelor of Arts/Science, City College of New York"
326,Pat Stryker,$3.5 B,68,Colorado,Medical equipment,3,HEALTHCARE,Medical equipment,1,"Fort Collins, Colorado",United States,Divorced,3,"Drop Out, University of Northern Colorado"
326,Carl Thoma,$3.5 B,75,Texas,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"Dallas, Texas",United States,Married,2,"Bachelor of Science, Oklahoma State University; Master of Business Administration, Stanford Business School"
326,Charles Zegar,$3.5 B,76,New York,Bloomberg LP,2,FINANCE & INVESTMENTS,"Bloomberg LP, Self Made",9,"New York, New York",United States,Married,"Bachelor of Arts/Science, Long Island University; Master of Science, New York University",
338,Neal Blue & family,$3.4 B,89,California,Defense,"San Diego, California",MANUFACTURING,"Defense, Self Made",7,United States,Widowed,4,"Bachelor of Arts/Science, Yale University",
338,Jane Lauder,$3.4 B,51,New York,Estée Lauder,"New York, New York",FASHION & RETAIL,Estée Lauder,4,United States,Married,"Bachelor of Arts/Science, Stanford University",,
338,David Murdock,$3.4 B,101,,"0CaliforniaDole, real estate","Ventura, California",FOOD & BEVERAGE,"Dole, real estate, Self Made",10,United States,Widowed,3,"Drop Out, High School",
338,Jonathan Nelson,$3.4 B,68,Rhode Island,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"Providence, Rhode Island",United States,"Widowed, Remarried",3,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Harvard University"
338,Eren Ozmen,$3.4 B,65,Nevada,Aerospace,1,MANUFACTURING,"Aerospace, Self Made",9,"Reno, Nevada",United States,Married,2,"Master of Business Administration, University of Nevada at Reno"
338,Stewart Rahr,$3.4 B,78,New York,Drug distribution,3,HEALTHCARE,Drug distribution,5,"New York, New York",United States,Divorced,2,"Bachelor of Arts/Science, New York University"
338,Steve Wynn,$3.4 B,82,Florida,"Casinos, hotels",1,GAMBLING & CASINOS,"Casinos, hotels, Self Made",8,"Palm Beach, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania"
345,John Arnold,$3.3 B,50,Texas,Hedge funds,5,FINANCE & INVESTMENTS,"Hedge funds, Self Made",8,"Houston, Texas",United States,Married,2,"Bachelor of Arts/Science, Vanderbilt University"
345,Seth Boro,$3.3 B,48,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"San Francisco, California",United States,Married,2,
345,"William Conway, Jr.",$3.3 B,74,Virginia,Private equity,4,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"McLean, Virginia",United States,Married,1,"Bachelor of Arts/Science, Dartmouth College"
345,Scott Crabill,$3.3 B,54,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"San Francisco, California",United States,Married,2,
345,Bom Kim,$3.3 B,45,,Online retailing,"Seoul, South Korea",TECHNOLOGY,"Online retailing, Self Made",8,United States,Married,1,"Bachelor of Arts/Science, Harvard University",
345,Richard LeFrak & family,$3.3 B,78,New York,Real estate,2,REAL ESTATE,Real estate,5,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Amherst College; Doctor of Jurisprudence, Columbia University"
345,Daniel Loeb,$3.3 B,62,New York,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",7,"New York, New York",United States,Married,"Bachelor of Arts/Science, Columbia University",
345,Fatih Ozmen,$3.3 B,66,Nevada,Aerospace,1,MANUFACTURING,"Aerospace, Self Made",9,"Reno, Nevada",United States,Married,,
345,Penny Pritzker,$3.3 B,65,Illinois,"Hotels, investments",3,FINANCE & INVESTMENTS,"Hotels, investments",3,"Chicago, Illinois",United States,Married,2,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Stanford Graduate School of Business; Doctor of Jurisprudence, Stanford University"
345,Holden Spaht,$3.3 B,50,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"San Francisco, California",United States,Married,2,
345,Frank VanderSloot,$3.3 B,75,Idaho,"Nutrition, wellness products",3,FASHION & RETAIL,"Nutrition, wellness products, Self Made",10,"Idaho Falls, Idaho",United States,Married,14,"Bachelor of Arts/Science, Brigham Young University"
356,Nicolas Berggruen,$3.2 B,62,California,"Real estate, investments",2,REAL ESTATE,"Real estate, investments",5,"Beverly Hills, California",United States,Single,"Bachelor of Arts/Science, New York University",
356,George Bishop,$3.2 B,86,Texas,Oil & gas,1,ENERGY,"Oil & gas, Self Made",7,"The Woodlands, Texas",United States,Married,,
356,Norman Braman,$3.2 B,91,Florida,"Art, car dealerships",2,AUTOMOTIVE,"Art, car dealerships, Self Made",9,"Miami, Florida",United States,Married,2,"Bachelor of Arts/Science, Temple University"
356,Todd Christopher,$3.2 B,61,Florida,Hair care products,1,FASHION & RETAIL,"Hair care products, Self Made",9,"Clearwater, Florida",United States,Married,"Drop Out, High School",
356,Stephen Deckoff,$3.2 B,58,,U.S. Virgin IslandsPrivate equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"St. John, U.S. Virgin Islands",United States,Married,3,"Bachelor of Science, Cornell University"
356,Robert Johnson,$3.2 B,77,Florida,"Johnson & Johnson, New York Jets","Palm Beach, Florida",SPORTS,"Johnson & Johnson, New York Jets",4,United States,Married,5,,
356,Richard Peery,$3.2 B,85,California,Real estate,2,REAL ESTATE,"Real estate, Self Made",8,"Palo Alto, California",United States,Married,4,"Bachelor of Arts/Science, Brigham Young University"
356,Robert Sands,$3.2 B,66,Florida,Liquor,1,FOOD & BEVERAGE,Liquor,4,"Delray Beach, Florida",United States,Married,"Law Degree, Pace University; Bachelor of Arts/Science, Skidmore College",
356,Howard Schultz,$3.2 B,71,Washington,Starbucks,3,FOOD & BEVERAGE,"Starbucks, Self Made",10,"Seattle, Washington",United States,Married,2,"Bachelor of Arts/Science, Northern Michigan University"
356,Warren Stephens,$3.2 B,67,Arkansas,Investment banking,1,FINANCE & INVESTMENTS,Investment banking,4,"Little Rock, Arkansas",United States,Married,3,"Master of Business Administration, Wake Forest University School of Business; Bachelor of Arts/Science, Washington & Lee University"
366,Brian Acton,$3.1 B,52,California,WhatsApp,4,TECHNOLOGY,"WhatsApp, Self Made",8,"Palo Alto, California",United States,Married,1,"Bachelor of Arts/Science, Stanford University"
366,George Argyros & family,$3.1 B,87,California,"Real estate, investments",3,REAL ESTATE,"Real estate, investments, Self Made",9,"Newport Beach, California",United States,Married,3,"Bachelor of Arts/Science, Chapman University"
366,Ron Burkle,$3.1 B,71,,"Supermarkets, investments",1,FINANCE & INVESTMENTS,"Supermarkets, investments, Self Made",9,"London, United Kingdom",United States,Divorced,3,"Diploma, High School"
366,Andrew Cherng,$3.1 B,77,Nevada,Fast food,2,FOOD & BEVERAGE,"Fast food, Self Made",9,"Las Vegas, Nevada",United States,Married,3,
366,Peggy Cherng,$3.1 B,76,Nevada,Fast food,2,FOOD & BEVERAGE,"Fast food, Self Made",9,"Las Vegas, Nevada",United States,Married,3,"Bachelor of Arts/Science, Oregon State University; Master of Science, University of Missouri; Ph.D, University of Missouri"
366,Bennett Dorrance,$3.1 B,78,Arizona,Campbell Soup,2,FOOD & BEVERAGE,Campbell Soup,2,"Paradise Valley, Arizona",United States,Married,2,"Bachelor of Arts/Science, University of Arizona"
366,Rajiv Jain,$3.1 B,56,Florida,Finance,1,FINANCE & INVESTMENTS,"Finance, Self Made",8,"Fort Lauderdale, Florida",United States,"Master of Business Administration, University of Miami; Bachelor of Arts/Science, University of Panjab",,
366,Pablo Legorreta,$3.1 B,60,New York,Investments,1,FINANCE & INVESTMENTS,"Investments, Self Made",8,"Sag Harbor, New York",United States,Married,2,"Bachelor of Science in Engineering, Universidad Iberoamericana"
366,"Drayton McLane, Jr.",$3.1 B,88,Texas,"Walmart, logistics",2,FASHION & RETAIL,"Walmart, logistics",5,"Temple, Texas",United States,Married,2,"Bachelor of Arts/Science, Baylor University; Master of Business Administration, Broad College of Business"
366,Vincent McMahon,$3.1 B,78,Connecticut,Entertainment,1,SPORTS,"Entertainment, Self Made",9,"Greenwich, Connecticut",United States,Married,2,"Bachelor of Arts/Science, East Carolina University"
366,Geoffrey Palmer,$3.1 B,74,California,Real estate,1,REAL ESTATE,"Real estate, Self Made",8,"Beverly Hills, California",United States,Married,"Doctor of Jurisprudence, Pepperdine Caruso School of Law; Bachelor of Arts/Economics, University of Colorado at Boulder",
366,Rodney Sacks & family,$3.1 B,74,California,Energy drinks,"Laguna Beach, California",FOOD & BEVERAGE,"Energy drinks, Self Made",8,United States,"Law Degree, University of Witwatersrand",,,
366,Jerry Speyer & family,$3.1 B,84,New York,Real estate,1,REAL ESTATE,"Real estate, Self Made",8,"New York, New York",United States,Married,4,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Columbia University"
379,Aneel Bhusri,$3 B,58,California,Business software,1,TECHNOLOGY,"Business software, Self Made",8,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business"
379,Charles Cohen,$3 B,72,New York,Real estate,1,REAL ESTATE,Real estate,5,"New York, New York",United States,Married,4,"Doctor of Jurisprudence, Brooklyn Law School; Bachelor of Arts/Science, Tufts University"
379,"Edward DeBartolo, Jr.",$3 B,77,Florida,Shopping centers,2,REAL ESTATE,Shopping centers,5,"Tampa, Florida",United States,Married,3,"Bachelor of Arts/Science, Notre Dame University"
379,John Paul DeJoria,$3 B,80,Texas,"Hair products, tequila",2,FASHION & RETAIL,"Hair products, tequila, Self Made",10,"Austin, Texas",United States,Married,6,"Diploma, High School"
379,James Duff,$3 B,63,Mississippi,"Tires, diversified",1,DIVERSIFIED,"Tires, diversified, Self Made",7,"Hattiesburg, Mississippi",United States,Married,2,
379,Thomas Duff,$3 B,67,Mississippi,"Tires, diversified",1,DIVERSIFIED,"Tires, diversified, Self Made",7,"Hattiesburg, Mississippi",United States,Divorced,2,"Bachelor of Arts/Science, University of Southern Mississippi"
379,J. Tomilson Hill,$3 B,76,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",6,"New York, New York",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University"
379,Stewart Horejsi & family,$3 B,86,Arizona,Berkshire Hathaway,2,FINANCE & INVESTMENTS,"Berkshire Hathaway, Self Made",8,"Phoenix, Arizona",United States,Divorced,2,
379,Michael Jordan,$3 B,61,Florida,"Charlotte Hornets, endorsements",1,SPORTS,"Charlotte Hornets, endorsements, Self Made",8,"Jupiter, Florida",United States,Married,5,"Bachelor of Arts/Science, University of North Carolina, Chapel Hill"
379,Haim Saban,$3 B,79,California,"TV network, investments",3,MEDIA & ENTERTAINMENT,"TV network, investments, Self Made",9,"Beverly Hills, California",United States,Married,4,"Diploma, High School"
379,Leonard Schleifer,$3 B,72,New York,Pharmaceuticals,1,HEALTHCARE,"Pharmaceuticals, Self Made",8,"Tarrytown, New York",United States,Married,3,"Bachelor of Arts/Science, Cornell University; Medical Doctor, University of Virginia; Ph.D, University of Virginia"
379,Jeffrey Talpins,$3 B,49,New York,Hedge fund,"Larchmont, New York",FINANCE & INVESTMENTS,"Hedge fund, Self Made",8,United States,Married,"Bachelor of Arts/Science, Yale University",,
379,Thomas Tull,$3 B,54,Pennsylvania,"Movies, investments",2,MEDIA & ENTERTAINMENT,"Movies, investments, Self Made",9,"Pittsburgh, Pennsylvania",United States,Married,"Bachelor of Arts/Science, Hamilton College",
379,Todd Wanek,$3 B,60,Florida,Furniture,2,MANUFACTURING,Furniture,4,"St. Petersburg, Florida",United States,Married,2,
379,Meg Whitman,$3 B,67,California,EBay,2,TECHNOLOGY,"EBay, Self Made",6,"Los Angeles, California",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Princeton University"
379,"William Wrigley, Jr.",$3 B,60,Florida,Chewing gum,"North Palm Beach, Florida",FOOD & BEVERAGE,Chewing gum,3,United States,Divorced,4,"Bachelor of Arts/Science, Duke University",
395,Bill Austin,$2.9 B,82,Texas,Hearing aids,"Brownsville, Texas",MANUFACTURING,"Hearing aids, Self Made",9,United States,Married,3,"High School Graduate, High School",
395,J. Hyatt Brown,$2.9 B,87,Florida,Insurance,2,FINANCE & INVESTMENTS,Insurance,5,$73M,2%,"Ormond Beach, Florida",United States,Married
395,Ray Davis,$2.9 B,82,Texas,Pipelines,2,ENERGY,"Pipelines, Self Made",8,"Dallas, Texas",United States,Married,3,"Master of Business Administration, LeTourneau University's School of Business"
