RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
72,John Malone,$10 B,82,Colorado,Cable television,3,MEDIA & ENTERTAINMENT,8,"Cable television, Self Made","Elizabeth, Colorado",United States,Married,2,"Doctorate, Johns Hopkins University; Master of Science, Johns Hopkins University; Bachelor of Arts/Science, Yale University",83,3,,,,
72,Henry Samueli,$10 B,69,California,Semiconductors,2,TECHNOLOGY,9,"Semiconductors, Self Made","Newport Beach, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",69,2,,,,
75,Carl Cook,$9.8 B,61,Indiana,Medical devices,None,HEALTHCARE,3,Medical devices,"Bloomington, Indiana",United States,Married,,"Bachelor of Arts/Science, Purdue University; Master of Business Administration, Tippie School of Management",61,,,,,
76,Bubba Cathy,$9.7 B,69,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,4,Chick-fil-A,"Atlanta, Georgia",United States,Married,6,"Bachelor of Arts/Science, Samford University",70,1,,,,
76,Dan Cathy,$9.7 B,70,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,4,Chick-fil-A,"Atlanta, Georgia",United States,Married,2,"Bachelor of Arts/Science, Georgia Southern University",71,1,,,,
76,Trudy Cathy White,$9.7 B,67,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,2,Chick-fil-A,"Hampton, Georgia",United States,Married,4,"Bachelor of Arts/Science, Samford University",68,1,,,,
76,Marijke Mars,$9.7 B,59,California,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","Los Angeles, California",United States,Divorced,,"Bachelor of Arts/Science, Duke University",60,,,,,
76,Pamela Mars,$9.7 B,63,Virginia,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","Alexandria, Virginia",United States,Married,3,"Bachelor of Arts/Science, Vassar College",64,,,,,
76,Valerie Mars,$9.7 B,64,New York,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","New York, New York",United States,Married,2,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Yale University",65,,,,,
76,Victoria Mars,$9.7 B,66,Pennsylvania,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","Philadelphia, Pennsylvania",United States,Married,4,"Master of Business Administration, University of Pennsylvania, The Wharton School; Bachelor of Arts/Science, Yale University",67,,,,,
76,George Roberts,$9.7 B,80,California,Private equity,3,FINANCE & INVESTMENTS,8,"Private equity, Self Made","Atherton, California",United States,"Widowed, Remarried",3,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, UC Hastings",80,3,,,,
76,Harry Stine,$9.7 B,81,Iowa,Agriculture,1,FOOD & BEVERAGE,10,"Agriculture, Self Made","Adel, Iowa",United States,Married,4,,82,1,,,,
85,Michael Kim,$9.6 B,60,,Private equity,1,FINANCE & INVESTMENTS,7,"Private equity, Self Made","Seoul, South Korea",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Haverford College",60,1,,,,
86,Nathan Blecharczyk,$9.5 B,40,California,Airbnb,1,TECHNOLOGY,8,"Airbnb, Self Made","San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Harvard University",41,1,,,,
87,Ann Walton Kroenke,$9.4 B,74,Texas,Walmart,1,FASHION & RETAIL,1,Walmart,"Electra, Texas",United States,Married,2,"Registered Nurse, Lincoln University",75,1,,,,
88,Nancy Walton Laurie,$9.3 B,72,Nevada,Walmart,1,FASHION & RETAIL,1,Walmart,"Henderson, Nevada",United States,Married,1,"Bachelor of Arts/Science, University of Memphis",73,1,,,,
89,Jay Chaudhry,$9.2 B,64,Nevada,Security software,None,TECHNOLOGY,9,"Security software, Self Made","Reno, Nevada",United States,Married,3,"Bachelor of Technology, Indian Institute of Technology, BHU",64,,,,,
89,Bernard Marcus,$9.2 B,94,Georgia,Home Depot,4,FASHION & RETAIL,10,"Home Depot, Self Made","Atlanta, Georgia",United States,Married,3,"Bachelor of Arts/Science, Rutgers University",95,4,,,,
89,Robert F. Smith,$9.2 B,60,Texas,Private equity,2,FINANCE & INVESTMENTS,8,"Private equity, Self Made","Austin, Texas",United States,Married,7,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Cornell University",61,2,,,,
92,Ramzi Musallam,$9 B,55,New York,Private equity,None,FINANCE & INVESTMENTS,6,"Private equity, Self Made","New York, New York",United States,,,"Bachelor of Arts/Science, Colgate University; Master of Business Administration, University of Chicago Booth School of Business",55,,,,,
92,J. Christopher Reyes,$9 B,69,Florida,Food distribution,1,FOOD & BEVERAGE,8,"Food distribution, Self Made","Hobe Sound, Florida",United States,Married,4,"Bachelor of Arts/Science, University of Maryland",70,1,,,,
92,Jude Reyes,$9 B,68,Florida,Food distribution,1,FOOD & BEVERAGE,8,"Food distribution, Self Made","Palm Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, Wofford College",68,1,,,,
92,Charles Schwab,$9 B,86,California,Discount brokerage,3,FINANCE & INVESTMENTS,8,"Discount brokerage, Self Made","Woodside, California",United States,Married,5,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Stanford University",87,3,,,,
96,Joe Gebbia,$8.9 B,42,Texas,Airbnb,2,TECHNOLOGY,8,"Airbnb, Self Made","Austin, Texas",United States,In Relationship,,"Bachelor of Arts/Science, Rhode Island School of Design",42,2,,,,
96,Henry Kravis,$8.9 B,79,New York,Private equity,3,FINANCE & INVESTMENTS,8,"Private equity, Self Made","New York, New York",United States,Married,2,"Bachelor of Arts/Science, Claremont McKenna College; Master of Business Administration, Columbia Business School",80,3,,,,
98,Pauline MacMillan Keinath,$8.8 B,89,Missouri,Cargill,1,FOOD & BEVERAGE,1,Cargill,"St. Louis, Missouri",United States,Married,4,,90,1,,,,
