RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
27,Thomas Peterffy,$29.7 B,79,Florida,Discount brokerage,1,FINANCE & INVESTMENTS,"Discount brokerage, Self Made",79,10,10,1,1,"Palm Beach, Florida",79,"Discount brokerage, Self Made",,,,
28,Jeff Yass,$28.9 B,65,Pennsylvania,"Trading, investments",1,FINANCE & INVESTMENTS,"Trading, investments, Self Made",66,8,8,1,1,"Haverford, Pennsylvania",66,"Trading, investments, Self Made",,,,
29,Abigail Johnson,$25.5 B,61,Massachusetts,Fidelity,1,FINANCE & INVESTMENTS,Fidelity Investments,62,4,4,1,1,"Milton, Massachusetts",62,Fidelity Investments,,,,
30,Harold Hamm & family,$25.2 B,77,Oklahoma,Oil & gas,1,ENERGY,"Oil & gas, Self Made",78,10,10,1,1,"Oklahoma City, Oklahoma",78,"Oil & gas, Self Made",,,,
31,Lukas Walton,$24.2 B,37,Illinois,Walmart,1,FASHION & RETAIL,Walmart,37,1,1,1,,1,37,Walmart,,,,
32,"Thomas Frist, Jr. & family",$22.6 B,85,Tennessee,Hospitals,1,HEALTHCARE,"Hospitals, Self Made",85,7,7,1,1,"Nashville, Tennessee",85,"Hospitals, Self Made",,,,
33,"John Menard, Jr.",$22.5 B,83,Wisconsin,Home improvement stores,1,FASHION & RETAIL,"Home improvement stores, Self Made",84,9,9,1,1,"Eau Claire, Wisconsin",84,"Home improvement stores, Self Made",,,,
34,Daniel Gilbert,$21.3 B,61,Michigan,Quicken Loans,2,FINANCE & INVESTMENTS,"Quicken Loans, Self Made",62,8,8,2,2,"Franklin, Michigan",62,"Quicken Loans, Self Made",,,,
35,David Tepper,$20.6 B,66,Florida,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",66,8,8,2,2,"Palm Beach, Florida",66,"Hedge funds, Self Made",,,,
36,Eric Schmidt,$20 B,68,California,Google,3,TECHNOLOGY,"Google, Self Made",69,6,6,3,3,"Atherton, California",69,"Google, Self Made",,,,
37,Steve Cohen,$19.8 B,67,Connecticut,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",68,8,8,3,3,"Greenwich, Connecticut",68,"Hedge funds, Self Made",,,,
38,Diane Hendricks,$19.3 B,76,Wisconsin,Building supplies,1,CONSTRUCTION & ENGINEERING,"Building supplies, Self Made",77,9,9,1,1,"Afton, Wisconsin",77,"Building supplies, Self Made",,,,
39,Donald Bren,$18 B,91,California,Real estate,4,REAL ESTATE,"Real estate, Self Made",92,8,8,4,4,"Newport Beach, California",92,"Real estate, Self Made",,,,
40,Rupert Murdoch & family,$17.4 B,92,New York,"Newspapers, TV network",1,MEDIA & ENTERTAINMENT,"Newspapers, TV network",93,5,5,1,1,"New York, New York",93,"Newspapers, TV network",,,,
41,Rick Cohen & family,$16.2 B,71,New Hampshire,Warehouse automation,None,TECHNOLOGY,Warehouse automation,72,Warehouse automation,5,5,"Keene, New Hampshire",,72,,,,,
42,Ray Dalio,$15.4 B,74,Connecticut,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",74,8,8,3,3,"Greenwich, Connecticut",74,"Hedge funds, Self Made",,,,
