RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
145,Dennis Washington,$7 B,89,Montana,"Construction, mining",3,LOGISTICS,"Construction, mining, Self Made",90,10,10,3,3,"Missoula, Montana",90,"Construction, mining, Self Made",,,,
147,Micky Arison,$6.9 B,74,Florida,Carnival Cruises,2,SERVICE,Carnival Cruises,75,5,5,2,2,"Bal Harbour, Florida",75,Carnival Cruises,,,,
147,"Ernest Garcia, II.",$6.9 B,66,Arizona,Used cars,1,AUTOMOTIVE,"Used cars, Self Made",67,9,9,1,,1,67,"Used cars, Self Made",,,,
147,Josh Harris,$6.9 B,58,Florida,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",59,8,8,2,2,"Miami, Florida",59,"Private equity, Self Made",,,,
147,Carl Icahn,$6.9 B,87,Florida,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",88,9,9,2,2,"Indian Creek, Florida",88,"Investments, Self Made",,,,
147,Leo Koguan,$6.9 B,68,,IT provider,2,TECHNOLOGY,"IT provider, Self Made",69,8,8,2,2,"Singapore, Singapore",69,"IT provider, Self Made",,,,
147,Douglas Leone,$6.9 B,66,California,Venture capital,2,FINANCE & INVESTMENTS,"Venture capital, Self Made",67,9,9,2,2,"Atherton, California",67,"Venture capital, Self Made",,,,
153,Jonathan Gray,$6.8 B,53,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",54,6,6,2,,2,54,"Investments, Self Made",,,,
153,Terrence Pegula,$6.8 B,72,Florida,Natural gas,2,ENERGY,"Natural gas, Self Made",73,9,9,2,2,"Boca Raton, Florida",73,"Natural gas, Self Made",,,,
153,Reinhold Schmieding,$6.8 B,68,Florida,Medical devices,None,HEALTHCARE,"Medical devices, Self Made",69,"Medical devices, Self Made",8,8,"Naples, Florida","Naples, Florida",69,,,,,
156,Mat Ishbia,$6.7 B,43,Michigan,Mortgage lender,1,FINANCE & INVESTMENTS,Mortgage lender,44,5,5,1,1,"Bloomfield Hills, Michigan",44,Mortgage lender,,,,
156,Jim Kennedy,$6.7 B,75,Georgia,"Media, automotive",3,MEDIA & ENTERTAINMENT,"Media, automotive",76,4,4,3,3,"Atlanta, Georgia",76,"Media, automotive",,,,
156,Blair Parry-Okeden,$6.7 B,73,,"Media, automotive",2,MEDIA & ENTERTAINMENT,"Media, automotive",74,1,1,2,2,"New South Wales, Australia",74,"Media, automotive",,,,
156,Lynsi Snyder,$6.7 B,41,California,In-N-Out Burger,2,FOOD & BEVERAGE,In-N-Out Burger,42,3,3,2,,,42,In-N-Out Burger,,,,
156,George Soros,$6.7 B,93,New York,Hedge funds,5,FINANCE & INVESTMENTS,"Hedge funds, Self Made",93,10,10,5,5,"Katonah, New York",93,"Hedge funds, Self Made",,,,
161,Vinod Khosla,$6.5 B,68,California,Venture capital,2,TECHNOLOGY,"Sun Microsystems, venture capital, Self Made",69,8,8,2,2,"Portola Valley, California",69,"Sun Microsystems, venture capital, Self Made",,,,
161,Annette Lerner & family,$6.5 B,93,Maryland,Real estate,1,REAL ESTATE,Real estate,94,1,1,1,1,,94,Real estate,,,,
161,Michael Milken,$6.5 B,77,California,Investments,3,FINANCE & INVESTMENTS,"Investments, Self Made",78,8,8,3,3,"Los Angeles, California",78,"Investments, Self Made",,,,
164,Li Ge,$6.4 B,56,,Pharmaceutical ingredients,None,HEALTHCARE,"Pharmaceutical ingredients, Self Made",57,"Pharmaceutical ingredients, Self Made",8,8,,"Shanghai, China",57,,,,,
164,Pierre Omidyar,$6.4 B,56,Hawaii,"EBay, PayPal",5,TECHNOLOGY,"EBay, PayPal, Self Made",57,8,8,5,5,"Honolulu, Hawaii",57,"EBay, PayPal, Self Made",,,,
164,Charles Simonyi,$6.4 B,75,Washington,Microsoft,2,TECHNOLOGY,"Microsoft, Self Made",75,6,6,2,2,"Medina, Washington",75,"Microsoft, Self Made",,,,
167,Neil Bluhm,$6.3 B,85,Illinois,Real estate,2,REAL ESTATE,"Real estate, Self Made",86,10,10,2,2,"Chicago, Illinois",86,"Real estate, Self Made",,,,
167,Don Vultaggio & family,$6.3 B,71,New York,Beverages,1,FOOD & BEVERAGE,"Beverages, Self Made",72,10,10,1,1,"Port Washington, New York",72,"Beverages, Self Made",,,,
169,John Brown,$6.2 B,89,Georgia,Medical equipment,2,HEALTHCARE,"Medical equipment, Self Made",89,6,6,2,2,"Atlanta, Georgia",89,"Medical equipment, Self Made",,,,
169,Stanley Druckenmiller,$6.2 B,70,New York,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",71,8,8,3,,3,71,"Hedge funds, Self Made",,,,
169,Daniel Ziff,$6.2 B,51,New York,Investments,1,FINANCE & INVESTMENTS,Investments,52,4,4,1,1,"New York, New York",52,Investments,,,,
169,Dirk Ziff,$6.2 B,59,Florida,Investments,1,FINANCE & INVESTMENTS,Investments,60,4,4,1,1,"North Palm Beach, Florida",60,Investments,,,,
169,Robert Ziff,$6.2 B,57,New York,Investments,1,FINANCE & INVESTMENTS,Investments,57,4,4,1,1,"New York, New York",57,Investments,,,,
174,Philippe Laffont,$6.1 B,56,New York,Hedge fund,1,FINANCE & INVESTMENTS,"Hedge fund, Self Made",56,8,8,1,,1,56,"Hedge fund, Self Made",,,,
174,Paul Singer,$6.1 B,79,New York,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",79,8,8,2,2,"New York, New York",79,"Hedge funds, Self Made",,,,
176,Todd Boehly,$6 B,50,Connecticut,Finance,None,FINANCE & INVESTMENTS,"Finance, Self Made",50,"Finance, Self Made",7,7,"Darien, Connecticut","Darien, Connecticut",50,,,,,
176,William Goldring & family,$6 B,80,Louisiana,alcohol,None,FOOD & BEVERAGE,Liquor,81,Liquor,5,,5,"New Orleans, Louisiana",81,,,,,
176,Karen Pritzker,$6 B,65,Connecticut,"Hotels, investments",2,FINANCE & INVESTMENTS,"Hotels, investments",66,3,3,2,2,"Branford, Connecticut",66,"Hotels, investments",,,,
176,Les Wexner & family,$6 B,86,Ohio,Retail,3,FASHION & RETAIL,"Retail, Self Made",86,8,8,3,3,"New Albany, Ohio",86,"Retail, Self Made",,,,
180,John A. Sobrato & family,$5.9 B,84,California,Real estate,4,REAL ESTATE,"Real estate, Self Made",85,7,7,4,4,"Atherton, California",85,"Real estate, Self Made",,,,
180,Peter Thiel,$5.9 B,55,California,"Facebook, investments",2,FINANCE & INVESTMENTS,"Facebook, investments, Self Made",56,8,8,2,2,"Los Angeles, California",56,"Facebook, investments, Self Made",,,,
182,Robert Faith,$5.8 B,60,South Carolina,Real estate management,1,REAL ESTATE,"Real estate management, Self Made",60,8,8,1,1,"Charleston, South Carolina",60,"Real estate management, Self Made",,,,
182,Denise York & family,$5.8 B,72,Ohio,San Francisco 49ers,1,SPORTS,San Francisco 49ers,73,3,3,1,1,,73,San Francisco 49ers,,,,
184,David Bonderman,$5.7 B,80,Texas,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",81,7,7,2,2,"Fort Worth, Texas",81,"Private equity, Self Made",,,,
184,"Chase Coleman, III.",$5.7 B,48,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",49,7,7,2,,2,49,"Investments, Self Made",,,,
184,Dan Friedkin,$5.7 B,58,Texas,Toyota dealerships,3,AUTOMOTIVE,Toyota dealerships,59,4,4,3,3,"Houston, Texas",59,Toyota dealerships,,,,
184,Bill Haslam,$5.7 B,65,Tennessee,Gas stations,1,FASHION & RETAIL,Gas stations,65,3,3,1,1,"Knoxville, Tennessee",65,Gas stations,,,,
184,Marc Rowan,$5.7 B,61,New York,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",61,8,8,2,,2,61,"Private equity, Self Made",,,,
184,Fred Smith,$5.7 B,79,Tennessee,FedEx,1,LOGISTICS,"FedEx, Self Made",79,7,7,1,1,"Memphis, Tennessee",79,"FedEx, Self Made",,,,
184,Mark Walter,$5.7 B,63,Illinois,"Finance, asset management",2,FINANCE & INVESTMENTS,"Finance, asset management, Self Made",64,8,8,2,2,"Chicago, Illinois",64,"Finance, asset management, Self Made",,,,
184,Ty Warner,$5.7 B,79,Illinois,"Plush toys, real estate",2,REAL ESTATE,"Plush toys, real estate, Self Made",79,10,10,2,,2,79,"Plush toys, real estate, Self Made",,,,
192,Scott Cook,$5.6 B,71,California,Software,3,TECHNOLOGY,"Software, Self Made",72,8,8,3,3,"Woodside, California",72,"Software, Self Made",,,,
192,Tom Golisano,$5.6 B,81,Florida,Payroll services,2,SERVICE,"Payroll services, Self Made",82,9,9,2,2,"Naples, Florida",82,"Payroll services, Self Made",,,,
192,Joe Mansueto,$5.6 B,67,Illinois,Investment research,2,FINANCE & INVESTMENTS,"Investment research, Self Made",67,8,8,2,2,"Chicago, Illinois",67,"Investment research, Self Made",,,,
192,Janice McNair,$5.6 B,87,Texas,"Energy, sports",2,SPORTS,"Energy, sports",87,2,2,2,2,"Houston, Texas",87,"Energy, sports",,,,
192,Thomas Pritzker,$5.6 B,73,Illinois,"Hotels, investments",2,FINANCE & INVESTMENTS,"Hotels, investments",74,4,4,2,2,"Chicago, Illinois",74,"Hotels, investments",,,,
192,Lynda Resnick,$5.6 B,80,California,Agriculture,3,FOOD & BEVERAGE,"Agriculture, Self Made",81,8,8,3,3,,81,"Agriculture, Self Made",,,,
192,Stewart Resnick,$5.6 B,86,California,Agriculture,3,FOOD & BEVERAGE,"Agriculture, Self Made",87,8,8,3,3,,87,"Agriculture, Self Made",,,,
192,Gary Rollins,$5.6 B,79,Georgia,Pest control,2,SERVICE,Pest control,79,3,3,2,2,"Atlanta, Georgia",79,Pest control,,,,
192,Kelcy Warren,$5.6 B,67,Texas,Pipelines,2,ENERGY,"Pipelines, Self Made",68,9,9,2,2,"Dallas, Texas",68,"Pipelines, Self Made",,,,
201,Gwendolyn Sontheim Meyer,$5.5 B,61,California,Cargill,1,FOOD & BEVERAGE,Cargill,62,1,1,1,1,,62,Cargill,,,,
201,Mark Stevens,$5.5 B,63,Colorado,Venture capital,2,FINANCE & INVESTMENTS,"Venture capital, Self Made",64,9,9,2,2,"Steamboat Springs, Colorado",64,"Venture capital, Self Made",,,,
203,"Robert Hale, Jr.",$5.4 B,57,Massachusetts,Telecom,3,TELECOM,"Telecom, Self Made",58,8,8,3,,3,58,"Telecom, Self Made",,,,
204,Robert Bass,$5.3 B,75,Texas,"Oil, investments",2,ENERGY,"Oil, investments",76,4,4,2,2,"Fort Worth, Texas",76,"Oil, investments",,,,
204,Gayle Benson,$5.3 B,76,Louisiana,New Orleans Saints,2,SPORTS,New Orleans Saints,77,1,1,2,,2,77,New Orleans Saints,,,,
204,Rick Caruso,$5.3 B,64,California,Real estate,2,REAL ESTATE,"Real estate, Self Made",65,7,7,2,2,"Los Angeles, California",65,"Real estate, Self Made",,,,
204,Thai Lee,$5.3 B,64,Texas,IT provider,1,TECHNOLOGY,"IT provider, Self Made",65,9,9,1,1,"Austin, Texas",65,"IT provider, Self Made",,,,
204,Doug Meijer & family,$5.3 B,69,Michigan,Supermarkets,2,FASHION & RETAIL,Supermarkets,70,3,3,2,2,,70,Supermarkets,,,,
204,Hank Meijer & family,$5.3 B,71,Michigan,Supermarkets,2,FASHION & RETAIL,Supermarkets,72,3,3,2,2,,72,Supermarkets,,,,
204,Mark Meijer & family,$5.3 B,65,Michigan,Supermarkets,2,FASHION & RETAIL,Supermarkets,66,3,3,,,,66,Supermarkets,,,,
211,Mark Cuban,$5.2 B,65,Texas,"Online media, Dallas Mavericks",1,MEDIA & ENTERTAINMENT,"Online media, Dallas Mavericks, Self Made",66,8,8,1,1,"Dallas, Texas",66,"Online media, Dallas Mavericks, Self Made",,,,
211,Dagmar Dolby & family,$5.2 B,82,California,Dolby Laboratories,3,TECHNOLOGY,Dolby Laboratories,83,1,1,3,3,"San Francisco, California",83,Dolby Laboratories,,,,
211,Archie Aldis Emmerson & family,$5.2 B,94,California,"Timberland, lumber mills",2,MANUFACTURING,"Timberland, lumber mills, Self Made",95,9,9,2,2,"Redding, California",95,"Timberland, lumber mills, Self Made",,,,
211,Thomas Hagen,$5.2 B,87,Pennsylvania,Insurance,2,FINANCE & INVESTMENTS,Insurance,88,2,2,2,2,"Erie, Pennsylvania",88,Insurance,,,,
215,Ron Baron,$5.1 B,80,New York,Money management,1,FINANCE & INVESTMENTS,"Money management, Self Made",81,8,8,1,1,"New York, New York",81,"Money management, Self Made",,,,
215,Jim Davis & family,$5.1 B,80,Massachusetts,New Balance,2,MANUFACTURING,"New Balance, Self Made",81,8,8,2,2,"Newton, Massachusetts",81,"New Balance, Self Made",,,,
215,John Henry,$5.1 B,74,Florida,Sports,1,SPORTS,"Sports, Self Made",74,7,7,1,1,,74,"Sports, Self Made",,,,
215,Charles B. Johnson,$5.1 B,90,Florida,Franklin Templeton,3,FINANCE & INVESTMENTS,Franklin Templeton,91,5,5,3,3,"Palm Beach, Florida",91,Franklin Templeton,,,,
215,Joseph Liemandt,$5.1 B,55,Texas,Software,None,TECHNOLOGY,"Software, Self Made",55,"Software, Self Made",7,7,,"Austin, Texas",55,,,,,
215,Sami Mnaymneh,$5.1 B,62,Florida,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",63,8,8,,,1,63,"Private equity, Self Made",,,,
215,Michael Moritz,$5.1 B,69,California,Venture capital,4,TECHNOLOGY,"Venture capital, Self Made",69,8,8,4,4,"San Francisco, California",69,"Venture capital, Self Made",,,,
215,Tony Tamer,$5.1 B,65,New York,Private equity,None,FINANCE & INVESTMENTS,"Private equity, Self Made",66,"Private equity, Self Made",8,8,"New York, New York","New York, New York",66,,,,,
215,Romesh T. Wadhwani,$5.1 B,76,California,Software,2,TECHNOLOGY,"Software, Self Made",76,8,8,2,2,"Palo Alto, California",76,"Software, Self Made",,,,
224,"Austen Cargill, II.",$5 B,72,Montana,Cargill,1,FOOD & BEVERAGE,Cargill,73,1,1,1,1,"Livingston, Montana",73,Cargill,,,,
224,"James Cargill, II.",$5 B,74,Wisconsin,Cargill,1,FOOD & BEVERAGE,Cargill,75,1,1,1,1,,75,Cargill,,,,
224,Marianne Liebmann,$5 B,70,Montana,Cargill,1,FOOD & BEVERAGE,Cargill,71,1,1,1,1,"Bozeman, Montana",71,Cargill,,,,
227,Margot Birmingham Perot,$4.9 B,89,Texas,"Computer services, real estate",2,TECHNOLOGY,"Computer services, real estate",90,1,1,2,2,"Dallas, Texas",90,"Computer services, real estate",,,,
227,W. Herbert Hunt,$4.9 B,94,Texas,Oil,1,ENERGY,Oil,Oil,,4,,1,1,,4,,,,
227,Helen Johnson-Leipold,$4.9 B,66,Wisconsin,Cleaning products,2,MANUFACTURING,Cleaning products,67,3,3,2,2,"Racine, Wisconsin",67,Cleaning products,,,,
227,Dan Kurzius,$4.9 B,51,Georgia,Email marketing,None,TECHNOLOGY,"Email marketing, Self Made",52,"Email marketing, Self Made",9,9,"Atlanta, Georgia","Atlanta, Georgia",52,,,,,
227,George Lucas,$4.9 B,79,California,Star Wars,4,MEDIA & ENTERTAINMENT,"Star Wars, Self Made",80,8,8,4,4,"San Anselmo, California",80,"Star Wars, Self Made",,,,
227,Trevor Rees-Jones,$4.9 B,72,Texas,Oil & gas,4,ENERGY,"Oil & gas, Self Made",72,7,7,4,4,"Dallas, Texas",72,"Oil & gas, Self Made",,,,
227,Thomas Secunda,$4.9 B,69,New York,Bloomberg LP,2,FINANCE & INVESTMENTS,"Bloomberg LP, Self Made",70,8,8,2,2,"Croton-on-Hudson, New York",70,"Bloomberg LP, Self Made",,,,
227,Patrick Soon-Shiong,$4.9 B,71,California,Pharmaceuticals,2,HEALTHCARE,"Pharmaceuticals, Self Made",72,9,9,2,2,"Los Angeles, California",72,"Pharmaceuticals, Self Made",,,,
227,Elizabeth Uihlein,$4.9 B,78,Illinois,Packaging materials,2,MANUFACTURING,"Packaging materials, Self Made",79,7,7,2,2,,79,"Packaging materials, Self Made",,,,
227,Richard Uihlein,$4.9 B,78,Illinois,Packaging materials,2,MANUFACTURING,"Packaging materials, Self Made",78,7,7,2,2,"Lake Forest, Illinois",78,"Packaging materials, Self Made",,,,
227,Ronald Wanek,$4.9 B,82,Florida,Furniture,2,MANUFACTURING,"Furniture, Self Made",83,9,9,2,2,"Saint Petersburg, Florida",83,"Furniture, Self Made",,,,
238,H. Fisk Johnson,$4.8 B,65,Wisconsin,Cleaning products,2,MANUFACTURING,Cleaning products,66,3,3,2,2,"Racine, Wisconsin",66,Cleaning products,,,,
238,S. Curtis Johnson,$4.8 B,68,Wisconsin,Cleaning products,2,MANUFACTURING,Cleaning products,69,1,1,2,2,"Racine, Wisconsin",69,Cleaning products,,,,
238,Winifred J. Marquart,$4.8 B,64,Virginia,Cleaning products,2,MANUFACTURING,Cleaning products,65,2,2,2,2,"Virginia Beach, Virginia",65,Cleaning products,,,,
238,Arturo Moreno,$4.8 B,77,Arizona,"Billboards, Los Angeles Angels",2,SPORTS,"Billboards, Los Angeles Angels, Self Made",77,8,8,2,2,"Phoenix, Arizona",77,"Billboards, Los Angeles Angels, Self Made",,,,
238,Steven Spielberg,$4.8 B,76,California,Movies,3,MEDIA & ENTERTAINMENT,"Movies, Self Made",77,8,8,3,3,"Pacific Palisades, California",77,"Movies, Self Made",,,,
238,Russ Weiner,$4.8 B,53,Florida,Energy drinks,1,FOOD & BEVERAGE,"Energy drinks, Self Made",54,8,8,1,,1,54,"Energy drinks, Self Made",,,,
244,Charles Dolan & family,$4.7 B,96,New York,Cable television,2,MEDIA & ENTERTAINMENT,"Cable television, Self Made",97,9,9,2,2,"Oyster Bay, New York",97,"Cable television, Self Made",,,,
244,Jim Kavanaugh,$4.7 B,60,Missouri,IT provider,1,TECHNOLOGY,"IT provider, Self Made",61,9,9,,,1,61,"IT provider, Self Made",,,,
244,Ronald Lauder,$4.7 B,79,New York,Estee Lauder,3,FASHION & RETAIL,Estee Lauder,80,5,5,3,3,"New York, New York",80,Estee Lauder,,,,
244,Mitchell Rales,$4.7 B,67,Maryland,"Manufacturing, investments",2,MANUFACTURING,"Manufacturing, investments, Self Made",67,7,7,2,2,"Potomac, Maryland",67,"Manufacturing, investments, Self Made",,,,
244,Jon Stryker,$4.7 B,65,New York,Medical equipment,4,HEALTHCARE,Medical equipment,66,1,1,4,4,"New York, New York",66,Medical equipment,,,,
249,Ben Chestnut,$4.6 B,49,Georgia,Email marketing,1,TECHNOLOGY,"Email marketing, Self Made",50,8,8,1,1,"Atlanta, Georgia",50,"Email marketing, Self Made",,,,
249,Rakesh Gangwal,$4.6 B,70,Florida,Airline,None,SERVICE,"Airline, Self Made",71,"Airline, Self Made",8,8,"Miami, Florida","Miami, Florida",71,,,,,
249,Jeff T. Green,$4.6 B,46,California,Digital advertising,1,MEDIA & ENTERTAINMENT,"Digital advertising, Self Made",47,8,8,,,"Newbury Park, California",47,"Digital advertising, Self Made",1,1,,
249,Donald Horton & family,$4.6 B,73,Texas,Homebuilding,1,REAL ESTATE,"Homebuilding, Self Made","Homebuilding, Self Made",,8,,1,1,,8,,,,
249,Johnelle Hunt,$4.6 B,91,Arkansas,Trucking,2,LOGISTICS,"Trucking, Self Made",92,7,7,2,2,"Fayetteville, Arkansas",92,"Trucking, Self Made",,,,
249,Jeffrey Lurie & family,$4.6 B,72,Pennsylvania,Philadelphia Eagles,2,SPORTS,Philadelphia Eagles,72,4,4,2,2,"Wynnewood, Pennsylvania",72,Philadelphia Eagles,,,,
249,Mark Shoen,$4.6 B,72,Arizona,U-Haul,None,AUTOMOTIVE,U-Haul,73,U-Haul,5,5,"Phoenix, Arizona","Phoenix, Arizona",73,,,,,
249,Herbert Wertheim,$4.6 B,84,Florida,Investments,1,FINANCE & INVESTMENTS,"Investments, Self Made",85,10,10,1,1,"Coral Gables, Florida",85,"Investments, Self Made",,,,
249,Ken Xie,$4.6 B,60,California,Cybersecurity,1,TECHNOLOGY,"Cybersecurity, Self Made",61,8,8,1,,1,61,"Cybersecurity, Self Made",,,,
258,James Chambers,$4.5 B,66,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT,"Media, automotive",67,1,1,2,2,"Palisades, New York",67,"Media, automotive",,,,
258,Min Kao & family,$4.5 B,74,Kansas,Navigation equipment,2,TECHNOLOGY,"Navigation equipment, Self Made",75,8,8,2,2,"Leawood, Kansas",75,"Navigation equipment, Self Made",,,,
258,Lin Bin,$4.5 B,55,,Smartphones,None,TECHNOLOGY,"Smartphones, Self Made",56,"Smartphones, Self Made",8,8,,"Beijing, China",56,,,,,
258,Katharine Rayner,$4.5 B,78,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT,"Media, automotive",79,1,1,2,,2,79,"Media, automotive",,,,
258,Lynn Schusterman & family,$4.5 B,84,Oklahoma,"Oil & gas, investments",5,ENERGY,"Oil & gas, investments",85,1,1,5,5,"Tulsa, Oklahoma",85,"Oil & gas, investments",,,,
258,Margaretta Taylor,$4.5 B,81,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT,"Media, automotive",82,1,1,,2,2,82,"Media, automotive",,,,
264,Jim Davis,$4.4 B,63,Maryland,Staffing & recruiting,3,SERVICE,"Staffing & recruiting, Self Made",64,8,8,3,3,"Cockeysville, Maryland",64,"Staffing & recruiting, Self Made",,,,
264,Jeff Skoll,$4.4 B,58,California,EBay,5,TECHNOLOGY,"EBay, Self Made",59,6,6,5,,5,59,"EBay, Self Made",,,,
264,Eric Yuan & family,$4.4 B,53,California,Zoom Video Communications,None,TECHNOLOGY,"Zoom Video Communications, Self Made",54,"Zoom Video Communications, Self Made",8,8,"Santa Clara, California","Santa Clara, California",54,,,,,
267,John Catsimatidis,$4.3 B,75,New York,"Oil, real estate",1,ENERGY,"Oil, real estate, Self Made",75,10,10,1,1,"New York, New York",75,"Oil, real estate, Self Made",,,,
267,Reed Hastings,$4.3 B,62,California,Netflix,3,TECHNOLOGY,"Netflix, Self Made",63,7,7,3,3,"Santa Cruz, California",63,"Netflix, Self Made",,,,
267,James Irsay,$4.3 B,64,Indiana,Indianapolis Colts,1,SPORTS,Indianapolis Colts,65,2,2,1,1,"Carmel, Indiana",65,Indianapolis Colts,,,,
267,Eric Lefkofsky,$4.3 B,54,Illinois,"Groupon, investments",2,TECHNOLOGY,"Groupon, investments, Self Made",54,8,8,2,2,"Glencoe, Illinois",54,"Groupon, investments, Self Made",,,,
267,Gabe Newell,$4.3 B,60,Washington,Videogames,None,GAMBLING & CASINOS,"Videogames, Self Made",61,"Videogames, Self Made",8,8,"Seattle, Washington","Seattle, Washington",61,,,,,
267,Jean (Gigi) Pritzker,$4.3 B,61,California,"Hotels, investments",2,SERVICE,"Hotels, investments",62,3,3,2,2,"Los Angeles, California",62,"Hotels, investments",,,,
273,Joseph Grendys,$4.2 B,61,Illinois,Poultry processing,1,FOOD & BEVERAGE,"Poultry processing, Self Made",62,7,7,1,,1,62,"Poultry processing, Self Made",,,,
273,Martha Ingram & family,$4.2 B,88,Tennessee,"Book distribution, transportation",1,MEDIA & ENTERTAINMENT,"Book distribution, transportation",88,4,4,1,1,"Nashville, Tennessee",88,"Book distribution, transportation",,,,
273,"Jeremy Jacobs, Sr. & family",$4.2 B,83,New York,Food service,2,SERVICE,Food service,84,5,5,2,2,"East Aurora, New York",84,Food service,,,,
273,"Rupert Johnson, Jr.",$4.2 B,83,California,Franklin Templeton,2,FINANCE & INVESTMENTS,Franklin Templeton,83,4,4,2,,2,83,Franklin Templeton,,,,
273,John Sall,$4.2 B,75,North Carolina,Software,2,TECHNOLOGY,"Software, Self Made",76,8,8,2,2,"Cary, North Carolina",76,"Software, Self Made",,,,
278,Nick Caporella,$4.1 B,87,Florida,Beverages,None,FOOD & BEVERAGE,"Beverages, Self Made",88,"Beverages, Self Made",9,9,"Plantation, Florida",,88,,,,,
278,Barry Diller,$4.1 B,81,New York,Online media,3,MEDIA & ENTERTAINMENT,"Online media, Self Made",82,9,9,3,,3,82,"Online media, Self Made",,,,
278,Stephen Feinberg,$4.1 B,63,New York,Private equity,None,FINANCE & INVESTMENTS,"Private equity, Self Made",64,"Private equity, Self Made",8,8,"New York, New York","New York, New York",64,,,,,
278,Maggie Hardy,$4.1 B,57,Pennsylvania,Building materials,None,SERVICE,Building materials,58,Building materials,4,4,"Belle Vernon, Pennsylvania","Belle Vernon, Pennsylvania",58,,,,,
278,Dan Snyder,$4.1 B,58,Maryland,Washington Commanders,1,SPORTS,"Washington Commanders, Self Made",59,8,8,1,1,"Potomac, Maryland",59,"Washington Commanders, Self Made",,,,
278,Tim Sweeney,$4.1 B,52,North Carolina,Video games,1,MEDIA & ENTERTAINMENT,"Video games, Self Made",53,8,8,,,1,53,"Video games, Self Made",,,,
278,Steven Udvar-Hazy,$4.1 B,77,Texas,Aircraft leasing,3,SERVICE,"Aircraft leasing, Self Made",78,9,9,3,3,"Westlake, Texas",78,"Aircraft leasing, Self Made",,,,
285,Marian Ilitch,$4 B,90,Michigan,Little Caesars Pizza,3,FOOD & BEVERAGE,"Little Caesars Pizza, Self Made",91,9,9,3,3,"Bingham Farms, Michigan",91,"Little Caesars Pizza, Self Made",,,,
285,Roger Penske,$4 B,86,Michigan,Cars,1,AUTOMOTIVE,"Cars, Self Made",87,8,8,1,1,"Birmingham, Michigan",87,"Cars, Self Made",,,,
285,Isaac Perlmutter,$4 B,80,Florida,Marvel comics,1,MEDIA & ENTERTAINMENT,"Marvel comics, Self Made",81,10,10,1,,1,81,"Marvel comics, Self Made",,,,
285,Jeff Rothschild,$4 B,68,California,Facebook,1,TECHNOLOGY,"Facebook, Self Made",69,6,6,1,1,"Palo Alto, California",69,"Facebook, Self Made",,,,
285,E. Joe Shoen,$4 B,73,Arizona,U-Haul,None,AUTOMOTIVE,U-Haul,74,U-Haul,5,5,,"Phoenix, Arizona",74,,,,,
285,Donald Sterling,$4 B,89,California,Real estate,1,REAL ESTATE,"Real estate, Self Made",90,8,8,1,1,"Beverly Hills, California",90,"Real estate, Self Made",,,,
291,Sid Bass,$3.9 B,81,Texas,"Oil, investments",2,ENERGY,"Oil, investments",82,4,4,2,2,"Fort Worth, Texas",82,"Oil, investments",,,,
291,Wesley Edens,$3.9 B,61,New York,Investments,None,FINANCE & INVESTMENTS,"Investments, Self Made",62,"Investments, Self Made",8,8,"New York, New York","New York, New York",62,,,,,
291,Hamilton James & family,$3.9 B,72,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",72,6,6,2,2,"New York, New York",72,"Investments, Self Made",,,,
291,Gail Miller,$3.9 B,79,Utah,Car dealerships,2,AUTOMOTIVE,"Car dealerships, Self Made",80,7,7,2,2,"Salt Lake City, Utah",80,"Car dealerships, Self Made",,,,
295,Jim Coulter,$3.8 B,63,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",64,7,7,1,1,"San Francisco, California",64,"Private equity, Self Made",,,,
295,Daniel D'Aniello,$3.8 B,77,Virginia,Private equity,3,FINANCE & INVESTMENTS,"Private equity, Self Made",77,10,10,3,3,"Vienna, Virginia",77,"Private equity, Self Made",,,,
295,Behdad Eghbali,$3.8 B,47,California,Private equity,None,FINANCE & INVESTMENTS,"Private equity, Self Made",48,"Private equity, Self Made",8,8,,"Los Angeles, California",48,,,,,
295,Jose E. Feliciano,$3.8 B,50,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",51,8,8,1,,1,51,"Private equity, Self Made",,,,
295,Peter Kellogg,$3.8 B,81,New Jersey,Investments,3,FINANCE & INVESTMENTS,Investments,81,4,4,3,3,"Short Hills, New Jersey",81,Investments,,,,
